Canton,Total,Person1,Person2,Person3,Person4,Person5,SixOrMorePerson,ImplausibleHouseholds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basel-Stadt2018,"189,353 ","45,024 ","55,812 ","33,222 ","34,072 ","13,870 ","7,353 ",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basel-Landschaft2018,"283,895 ","42,180 ","91,998 ","50,337 ","65,436 ","24,090 ","9,854 ",< 0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schaffhausen2018,"80,543 ","13,875 ","25,162 ","13,608 ","16,960 ","7,200 ","3,738 ",< 0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Appenzell A.Rh.2018,"54,342 ","7,986 ","16,378 ","8,646 ","11,788 ","6,170 ","3,374 ",< 0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Appenzell I.Rh.2018,"15,892 ","1,960 ","4,236 ","2,394 ","3,520 ","2,590 ","1,192 ",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St.Gallen2018,"499,844 ","76,283 ","146,662 ","82,101 ","112,176 ","54,460 ","28,162 ",< 0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Graubünden2018,"195,151 ","35,191 ","59,746 ","33,528 ","42,908 ","17,260 ","6,518 ",< 0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aargau2018,"669,559 ","93,256 ","207,034 ","116,559 ","157,408 ","64,290 ","31,012 ",< 0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thurgau2018,"272,987 ","39,170 ","83,528 ","46,221 ","63,284 ","27,010 ","13,774 ",< 0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tessin2018,"347,447 ","64,461 ","98,358 ","71,046 ","76,988 ","27,105 ","9,489 ",< 0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waadt2018,"783,298 ","127,904 ","208,912 ","152,046 ","187,100 ","73,790 ","33,546 ",< 0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wallis2018,"337,557 ","53,704 ","94,602 ","62,373 ","78,532 ","32,960 ","15,386 ",< 0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neuenburg2018,"173,628 ","32,120 ","48,744 ","32,109 ","39,688 ","14,805 ","6,162 ",< 0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Genf2018,"475,948 ","72,623 ","104,690 ","93,630 ","107,664 ","52,345 ","44,996 ",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jura2018,"72,201 ","11,320 ","20,408 ","12,462 ","16,736 ","8,070 ","3,205 ",< 0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
