Canton,Total,Person1,Person2,Person3,Person4,Person5,SixOrMorePerson,ImplausibleHouseholds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schweiz2018,"8,379,165 ","1,340,644 ","2,462,362 ","1,487,565 ","1,902,048 ","792,500 ","394,046 ",< 0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zürich2018,"1,492,744 ","248,443 ","447,758 ","265,545 ","335,984 ","130,030 ","64,984 ",< 0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bern2018,"1,015,007 ","171,908 ","327,726 ","166,122 ","214,996 ","89,815 ","44,440 ",< 0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luzern2018,"401,826 ","59,414 ","119,710 ","65,964 ","93,748 ","42,750 ","20,240 ",< 0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uri2018,"35,618 ","4,813 ","10,838 ","5,454 ","8,508 ","4,285 ","1,720 ",< 0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schwyz2018,"156,390 ","22,028 ","47,308 ","27,072 ","36,240 ","16,165 ","7,577 ",< 0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obwalden2018,"37,272 ","5,129 ","11,022 ","5,961 ","9,168 ","3,875 ","2,117 ",< 0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nidwalden2018,"42,548 ","6,183 ","13,934 ","7,245 ","9,660 ","4,005 ","1,521 ",< 0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glarus2018,"39,668 ","6,317 ","12,084 ","6,924 ","9,068 ","3,715 ","1,560 ",< 0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zug2018,"124,817 ","17,514 ","37,148 ","22,341 ","31,024 ","12,520 ","4,270 ",< 0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Freiburg2018,"312,730 ","40,230 ","83,038 ","58,353 ","80,704 ","34,795 ","15,610 ",< 0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solothurn2018,"268,900 ","41,608 ","85,526 ","46,302 ","58,688 ","24,530 ","12,246 ",< 0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
